,media_id,Lat,Long
0,16797,28.573333,77.258624
1,16798,28.573401,77.258899
2,16799,28.573408,77.258575
3,16800,28.573038,77.258459
4,16895,28.506493,77.175598
5,16973,28.592022,77.161471
6,17327,28.570515,77.23612
7,17328,28.570549,77.23608
8,17358,28.594852,77.240071
9,17901,28.565513,77.166891
10,26272,28.570528,77.134052
11,25538,28.567612,77.132539
12,25649,28.594559,77.239896
13,23023,28.533219,77.15097
14,23021,28.589312,77.240255
15,23022,28.534205,77.151594
16,23020,28.577675,77.265893
17,23017,28.530107,77.217755
18,23015,28.547495,77.253875
19,23016,28.528675,77.212402
20,23013,28.588295,77.229436
21,23014,28.566197,77.229012
22,23010,28.572791,77.258301
23,23011,28.547924,77.190108
24,28122,28.585036,77.260457
25,28120,28.349615,77.158486
26,28121,28.359196,77.155294
27,28119,28.349605,77.158485
28,22748,28.50594,77.174978
29,22749,28.506751,77.1753
30,22750,28.498379,77.159843
31,22751,28.499923,77.162699
32,22752,28.480307,77.124657
33,22753,28.492577,77.146755
34,22754,28.492967,77.146783
35,22755,28.493015,77.14797
36,22756,28.492307,77.14636
37,22757,28.495513,77.153452
38,22759,28.541448,77.156628
39,22760,28.519264,77.209529
40,22761,28.519547,77.207619
41,20467,28.538039,77.137097
42,20468,28.538028,77.137139
43,20465,not found,not found
44,20466,not found,not found
45,20464,not found,not found
46,25569,28.566671,77.253063
47,27295,28.548538,77.228514
48,27845,28.568336,77.222995
49,25755,28.549656,77.1855
50,25747,28.6093,77.140186
51,25748,28.529964,77.217239
52,16026,28.544825,77.311294
53,16027,28.54466,77.311189
54,16028,28.544419,77.311033
55,16029,28.544565,77.310797
56,16030,28.54466,77.310864
57,16031,28.5445,77.310777
58,16032,28.54445,77.310717
59,16033,28.544385,77.310704
60,16034,28.542128,77.301203
61,16035,28.543055,77.30363
62,16036,28.543238,77.303936
63,16037,28.543721,77.30455
64,16038,28.543927,77.30483
65,16039,28.544244,77.305208
66,16040,28.543935,77.304378
67,16041,28.544276,77.30482
68,16042,28.544735,77.305235
69,16043,28.545068,77.305632
70,16044,28.545369,77.306075
71,16045,28.545726,77.306471
72,16046,28.545029,77.307672
73,16047,28.544831,77.308006
74,16048,28.545298,77.307384
75,16049,28.543729,77.309865
76,16050,28.544712,77.305561
77,16051,28.545132,77.30603
78,16052,28.54426,77.305011
79,16101,28.587004,77.241087
80,16102,28.58729,77.2411
81,16103,28.587816,77.241011
82,16104,28.588259,77.24087
83,16105,28.571803,77.236566
84,16106,28.549943,77.22815
85,16107,28.542296,77.227116
86,16108,28.542334,77.227266
87,16109,28.542339,77.227095
88,26259,28.542046,77.226496
89,16111,28.542051,77.226204
90,16112,28.595458,77.240292
91,16113,28.595755,77.240598
92,16114,28.546398,77.195935
93,16115,28.520453,77.202263
94,16116,28.509044,77.178609
95,16117,28.499082,77.160671
96,16118,28.536494,77.197386
97,16119,28.528577,77.231508
98,16120,28.588569,77.168552
99,16122,28.556643,77.163656
100,16150,not found,not found
101,16151,not found,not found
102,16152,not found,not found
103,16168,28.595786,77.2403
104,16169,28.595838,77.240303
105,16170,28.564205,77.250372
106,16172,28.596313,77.240652
107,16173,28.542899,77.220282
108,28214,28.539544,77.15534
109,28215,28.540752,77.156302
110,16208,28.5967,77.240483
111,16209,28.588046,77.240634
112,16210,28.588567,77.240347
113,16211,28.598422,77.240536
114,16212,28.532913,77.231287
115,16213,28.558889,77.23696
116,16214,28.587575,77.240762
117,16215,28.597247,77.240624
118,16218,28.584539,77.240711
119,16303,28.509424,77.177742
120,16304,28.509317,77.177685
121,16305,28.510161,77.180685
122,16306,28.510444,77.180928
123,16313,28.53279,77.19584
124,16314,28.532715,77.19576
125,26911,28.596086,77.240343
126,26910,28.559621,77.207167
127,16340,28.510634,77.181133
128,28213,28.52895,77.288429
129,16687,28.515323,77.227547
130,16688,28.515344,77.227497
131,16689,28.515303,77.227712
132,16690,28.523328,77.191088
133,16691,28.523282,77.191167
134,16697,28.561032,77.268713
135,16698,28.533127,77.230963
136,16699,28.533127,77.231089
137,16712,28.587401,77.166707
138,16713,28.58737,77.166666
139,16714,28.554756,77.17727
140,16717,28.517648,77.217744
141,16718,28.536172,77.15332
142,16719,28.570437,77.168451
143,16720,28.532504,77.150971
144,16721,28.515253,77.227873
145,16722,28.525863,77.230502
146,16749,28.568005,77.207928
147,16750,28.568045,77.207941
148,16751,28.567998,77.207955
149,16752,28.568005,77.20791
150,16778,28.480842,77.125655
151,16779,28.493774,77.148701
152,16780,28.479654,77.124268
153,16781,28.492849,77.14662
154,16796,28.571802,77.258439
155,16801,28.577444,77.265693
156,16802,28.537074,77.197715
157,16803,28.561983,77.207558
158,16804,28.562168,77.207272
159,16805,28.581517,77.211901
160,16806,28.581642,77.211924
161,16807,28.582203,77.212364
162,16808,28.582105,77.21236
163,16809,28.588152,77.21255
164,16810,28.588274,77.213053
165,16830,28.51022,77.2983
166,16831,28.515659,77.296062
167,16832,28.506256,77.299743
168,16856,28.566795,77.189167
169,16858,28.566578,77.189505
170,16864,28.578248,77.189722
171,16865,28.578271,77.189952
172,16866,28.585927,77.191535
173,16867,28.585799,77.191621
174,16868,28.603151,77.19557
175,16869,28.603391,77.195703
176,16870,28.586129,77.193308
177,16871,28.586196,77.193618
178,16872,28.58802,77.194304
179,16873,28.588042,77.19453
180,16889,28.505425,77.174057
181,16890,28.504146,77.172691
182,16891,28.506664,77.175419
183,16892,28.506614,77.175467
184,16893,28.506558,77.175512
185,16894,28.506706,77.175378
186,16896,28.506459,77.175614
187,16897,28.516196,77.22661
188,16898,28.532741,77.231783
189,16900,28.541149,77.232409
190,16901,28.53292,77.231564
191,16902,28.518582,77.227324
192,16903,28.541212,77.231796
193,16931,28.573342,77.230183
194,16934,28.585683,77.240754
195,16935,28.585029,77.24102
196,28212,not found,not found
197,16937,28.573084,77.237916
198,16943,28.588084,77.24091
199,16944,28.573519,77.23767
200,16945,28.576903,77.238749
201,16946,28.586844,77.240688
202,16947,28.573936,77.238196
203,16948,28.591164,77.239678
